Jurisdiction,State,Year,ElectionDate,Office,Winner,IncumbentStatusofWinner,total_cands_with_writein,Numberofrounds,Totalballotscast,Firstroundactivevotes,Finalroundactivevotes,Firstroundvoteforwinner,Firstroundpercentforwinner,Firstroundplaceforwinner,Finalroundvotesforwinner,Finalroundpercentforwinner,Winnersconsensusvalue,WinnersFinalRoundVotesasPe,Fullyrankedballots,Ballotswith2Rankings,BallotsRankingtheWinner,FirstRoundUndervote,FirstRoundOvervotes,pctfirstroundover,TotalBallotswithOvervotes,InactivebyOvervote,InactivebySkippedRankings,InactivebyAbstention,Inactivebyrankinglimit,TotalInactive,Includesduplicaterankings,Includesskippedrankings,TurnoutPercentpercentofregi,RegisteredVotersinJurisdictio,Condorcetwinner,ComeFromBehindWinner,NumberofRankingsPermitted,BallotStyle,BallotMarkingStyle,VotingEquipmentUsed,Linktofullresults,CVRAvailable,Notes,RaceID,AU,female_cands,male_cands,nonbin_cands,gender_miss_cands,black_cands,hisp_cands,mena_cands,aapi_cands,white_cands,other_cands,minority_cands,num_cands_no_writein,female_cands5,male_cands5,nonbin_cands5,gender_miss_cands5,black_cands5,hisp_cands5,mena_cands5,aapi_cands5,white_cands5,other_cands5,minority_cands5,total_cands5,open_seat,allcands_male,allcands_female,cands_mixed_gender,allcands_male5,allcands_female5,cands_mixed_gender5,special_election,month,gen_election,prim_election,level,record available
Alaska,AK,2022,11/8/2022,State House 9,"Shaw, Laddie H.",Incumbent,2,1,10284,9830,9830,5326,0.54181,1,5326,0.54181,.64863,0.54181,1884,1978,6376,449.0,4.0,0.000388953714508,5.0,0.0,0.0,0.0,0.0,0,37.0,34.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict9,,0,2,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 15,"McKay, Thomas W. ""Tom""",Incumbent,3,3,7709,7276,6959,2823,0.38799,2,3483,0.5005,.60473,0.4787,1485,3625,4413,422.0,6.0,0.000778311064989,13.0,0.0,0.0,317.0,0.0,317,44.0,75.0,,,Y,Y,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict15,,0,3,0,1,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate H,"Claman, Matt",OpenSeat,2,1,15777,15215,15215,7879,0.51784,1,7879,0.51784,.61078,0.51784,3431,3617,9293,550.0,7.0,0.0004436838435698,9.0,0.0,0.0,0.0,0.0,0,83.0,120.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictH,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 7,"Ruffridge, Justin",OpenSeat,2,1,7443,6865,6865,3612,0.52615,1,3612,0.52615,.70969,0.52615,2482,2545,4872,569.0,7.0,0.0009404809888486,9.0,0.0,0.0,0.0,0.0,0,44.0,43.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict7,,0,2,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,1,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 6,"Vance, Sarah L.",Incumbent,3,1,9847,9530,9530,4958,0.52025,1,4958,0.52025,.63473,0.52025,1479,3851,6073,310.0,5.0,0.0005077688636133,14.0,0.0,0.0,0.0,0.0,0,48.0,71.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict6,,2,1,0,1,0,0,0,0,3,0,0,3,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 5,"Stutes, Louise B.",Incumbent,2,1,5989,5392,5392,3286,0.60942,1,3286,0.60942,.75408,0.60942,1737,1764,4066,587.0,5.0,0.0008348639171815,7.0,0.0,0.0,0.0,0.0,0,35.0,53.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict5,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 31,"Dibert, Maxine L.",Incumbent,3,3,5330,5080,4663,2477,0.4876,1,2589,0.55522,.6252,0.50965,1287,2784,3182,235.0,9.0,0.0016885553470919,18.0,0.0,1.0,416.0,0.0,417,27.0,113.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict31,,2,1,0,1,0,0,0,0,2,1,1,3,2,1,0,0,0,0,0,0,2,1,1,3,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 23,"Allard, Jamie",OpenSeat,2,1,8336,7274,7274,4477,0.61548,1,4477,0.61548,.73948,0.61548,2604,2673,5379,1056.0,3.0,0.0003598848368522,3.0,0.0,0.0,0.0,0.0,0,18.0,30.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict23,,1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,Governor / Lt Governor,Dunleavy/Dahlstrom,Incumbent,4,1,266693,264321,264321,132662,0.5019,1,132662,0.5019,.61824,0.5019,47992,177485,177412,1781.0,307.0,0.0011511363252879,811.0,0.0,0.0,0.0,0.0,0,2416.0,4517.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_GovernorLieutenantGovernor,,0,4,0,1,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate F,"Kaufman, James D.",OpenSeat,2,1,14964,14316,14316,7806,0.54526,1,7806,0.54526,.65898,0.54526,2993,3120,9434,640.0,3.0,0.0002004811547715,5.0,0.0,0.0,0.0,0.0,0,76.0,96.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictF,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate J,"Dunbar, Forrest",OpenSeat,3,2,9197,8660,8630,4325,0.49942,1,4332,0.50197,.68926,0.50023,2118,5065,5982,510.0,13.0,0.0014135044036099,32.0,1.0,1.0,28.0,0.0,30,64.0,150.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictJ,,1,2,0,1,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate G,"Gray-Jackson, Elvi",Incumbent,2,1,11945,11225,11225,6336,0.56445,1,6336,0.56445,.65007,0.56445,2598,2716,7297,709.0,6.0,0.0005023022185015,7.0,0.0,0.0,0.0,0.0,0,71.0,100.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictG,,1,1,0,1,2,0,0,0,0,0,2,2,1,1,0,0,2,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,US Senate,"Murkowski, Lisa",Incumbent,4,4,266797,263745,253869,113813,0.43153,1,136333,0.53702,.6246,0.51691,47800,170671,172583,2376.0,513.0,0.0019228102265018,1277.0,59.0,104.0,9713.0,0.0,9876,3175.0,8639.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_USSenator,,3,1,0,2,0,0,0,0,4,0,0,4,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1,0,1,0,0.0,11,1,0,federal,yes
Alaska,AK,2022,11/8/2022,State House 14,"Galvin, Alyse S.",OpenSeat,2,1,6155,5708,5708,3816,0.66854,1,3816,0.66854,.7302,0.66854,1251,1304,4168,441.0,3.0,0.0004874086108855,4.0,0.0,0.0,0.0,0.0,0,29.0,55.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict14,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 29,"Rauscher, George",Incumbent,2,1,8220,7493,7493,5554,0.74123,1,5554,0.74123,.82384,0.74123,1717,1767,6173,725.0,2.0,0.0002433090024331,4.0,0.0,0.0,0.0,0.0,0,62.0,26.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict29,,0,2,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 18,"Groh, Cliff",OpenSeat,3,3,2297,2120,2014,743,0.35047,2,1046,0.51936,.60943,0.4934,560,1151,1296,175.0,2.0,0.000870700914236,5.0,0.0,0.0,106.0,0.0,106,26.0,37.0,,,Y,Y,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict18,,1,2,0,1,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate R,"Bishop, Click",Incumbent,3,1,15830,14669,14669,8317,0.56698,1,8317,0.56698,.75404,0.56698,3427,6827,11075,1135.0,13.0,0.0008212255211624,30.0,0.0,0.0,0.0,0.0,0,91.0,120.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictR,,0,3,0,1,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate N,"Wilson, David S.",Incumbent,3,3,13776,11632,10435,5166,0.44412,1,6124,0.58687,.73332,0.52648,4862,6578,8545,2110.0,20.0,0.001451800232288,46.0,6.0,0.0,1191.0,0.0,1197,108.0,145.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictN,,0,3,0,1,1,0,0,0,2,0,1,3,0,3,0,0,1,0,0,0,2,0,1,3,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 35,"Carrick, Ashley E.",OpenSeat,4,1,7878,7479,7479,3979,0.53202,1,3979,0.53202,.58083,0.53202,1200,3799,4685,394.0,2.0,0.0002538715410003,12.0,0.0,0.0,0.0,0.0,0,39.0,112.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict35,,1,3,0,1,0,0,0,0,3,0,0,3,1,2,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 12,"Schrage, Calvin R.",Incumbent,2,1,6774,6485,6485,3825,0.58982,1,3825,0.58982,.6650700000000001,0.58982,1509,1569,4313,285.0,1.0,0.0001476232654266,1.0,0.0,0.0,0.0,0.0,0,42.0,40.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict12,,0,2,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 19,"Mina, Genevieve G.",OpenSeat,2,1,3728,3059,3059,2260,0.7388,1,2260,0.7388,.86008,0.7388,1547,1561,2631,647.0,10.0,0.0026824034334764,11.0,0.0,0.0,0.0,0.0,0,12.0,59.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict19,,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 17,"Fields, William Z. ""Zack""",Incumbent,2,1,6465,5437,5437,3030,0.55729,1,3030,0.55729,.7741400000000001,0.55729,2762,2781,4209,1014.0,6.0,0.0009280742459397,9.0,0.0,0.0,0.0,0.0,0,33.0,52.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict17,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 22,"Wright, Stanley A.",OpenSeat,2,1,3964,3780,3780,1917,0.50714,1,1917,0.50714,.6463,0.50714,970,1006,2443,179.0,4.0,0.0010090817356206,5.0,0.0,0.0,0.0,0.0,0,38.0,33.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict22,,0,2,0,1,1,0,0,0,1,0,1,2,0,2,0,0,1,0,0,0,1,0,1,2,1,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate E,"Giessel, Cathy",OpenSeat,3,3,17437,16733,13830,5642,0.33718,1,7881,0.56985,.65105,0.47099,3173,9244,10908,691.0,6.0,0.0003440958880541,14.0,1.0,3.0,2899.0,0.0,2903,90.0,122.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictE,,2,1,0,1,0,0,0,0,3,0,0,3,2,1,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate P,"Kawasaki, Scott",Incumbent,3,1,8736,8399,8399,4282,0.50982,1,4282,0.50982,.6365,0.50982,2136,4392,5367,317.0,9.0,0.0010302197802198,24.0,0.0,0.0,0.0,0.0,0,36.0,127.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictP,,0,3,0,1,0,0,0,1,1,0,1,2,0,3,0,0,0,0,0,1,1,0,1,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,US House,"Peltola, Mary S.",Incumbent,4,4,266797,265016,249747,128655,0.48546,1,137267,0.54962,.55196,0.51796,49546,177469,156554,1212.0,436.0,0.0016342012841224,1055.0,59.0,102.0,15108.0,0.0,15269,2640.0,6615.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_USRepresentative,,2,2,0,1,0,0,0,0,3,1,1,4,2,1,0,0,0,0,0,0,2,1,1,3,0,0,0,1,0,0,1,0.0,11,1,0,federal,yes
Alaska,AK,2022,11/8/2022,State Senate Q,"Myers, Robert H. Jr.",Incumbent,3,1,13949,13032,13032,8133,0.62408,1,8133,0.62408,.7507700000000001,0.62408,2742,4661,9809,904.0,8.0,0.0005735178148971,18.0,0.0,0.0,0.0,0.0,0,74.0,110.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictQ,,0,3,0,1,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 39,"Foster, Neal W.",Incumbent,2,1,3817,3667,3667,1872,0.5105,1,1872,0.5105,.78266,0.5105,1965,1983,2870,137.0,13.0,0.0034058160859314,13.0,0.0,0.0,0.0,0.0,0,34.0,106.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict39,,0,2,0,1,0,0,0,0,1,1,1,2,0,2,0,0,0,0,0,0,1,1,1,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate I,"Tobin, Loki",OpenSeat,2,1,8762,7574,7574,5020,0.66279,1,5020,0.66279,.75627,0.66279,2115,2181,5728,1172.0,7.0,0.0007989043597352,8.0,0.0,0.0,0.0,0.0,0,57.0,77.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictI,,2,0,0,1,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0,0,1,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 16,"Armstrong, Jennifer ""Jennie""",OpenSeat,2,1,8068,7704,7704,4244,0.55088,1,4244,0.55088,.64213,0.55088,1597,1690,4947,362.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,35.0,43.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict16,,2,0,0,1,0,1,0,0,1,0,1,2,2,0,0,0,0,1,0,0,1,0,1,2,1,0,1,0,0,1,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 11,"Coulombe, Julie",OpenSeat,3,3,8190,7687,7243,2984,0.38819,2,3678,0.5078,.6122,0.47847,1533,3750,4718,493.0,4.0,0.0004884004884005,8.0,0.0,2.0,442.0,0.0,444,26.0,78.0,,,Y,Y,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict11,,1,2,0,1,0,0,0,0,2,0,0,2,1,2,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 32,"Stapp, Will B.",OpenSeat,3,1,3406,3180,3180,1634,0.51384,1,1634,0.51384,.74025,0.51384,753,1774,2358,220.0,5.0,0.0014679976512038,7.0,0.0,0.0,0.0,0.0,0,8.0,42.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict32,,1,2,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate O,"Shower, Michael K.",Incumbent,2,1,16355,14313,14313,7411,0.51778,1,7411,0.51778,.72494,0.51778,5863,5935,10376,2016.0,18.0,0.0011005808621217,20.0,0.0,0.0,0.0,0.0,0,125.0,86.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictO,,0,2,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 27,"Eastman, David",Incumbent,3,1,6678,5630,5630,2879,0.51137,1,2879,0.51137,.7317900000000001,0.51137,2183,3117,4127,1021.0,14.0,0.0020964360587002,20.0,0.0,0.0,0.0,0.0,0,56.0,118.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict27,,0,3,0,1,0,0,0,0,3,0,0,3,0,3,0,0,0,0,0,0,3,0,0,3,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State House 2,"Himschoot, Rebecca",OpenSeat,2,1,7567,7140,7140,4164,0.58319,1,4164,0.58319,.67143,0.58319,1611,1644,4794,420.0,1.0,0.0001321527686005,1.0,0.0,0.0,0.0,0.0,0,48.0,50.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_HouseDistrict2,,1,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,1,0.0,11,1,0,state,yes
Alaska,AK,2022,11/8/2022,State Senate K,"Wielechowski, Bill",Incumbent,2,1,11277,10829,10829,6276,0.57955,1,6276,0.57955,.65712,0.57955,2565,2671,7116,438.0,7.0,0.0006207324643079,7.0,0.0,0.0,0.0,0.0,0,84.0,104.0,,,Y,N,5.0,Grid,Oval,Dominion ImageCast,Link,Y,,Alaska_11082022_SenateDistrictK,,0,2,0,1,0,0,0,0,2,0,0,2,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0.0,11,1,0,state,yes
