unnamed02,unnamed01,unnamed0,filename,diff,linearvotersfailure,gamma,mirror,candidates,level,partisan,type,irv1,irv2,condorcet1,plurality1,approval1irv2,condorcet2,plurality2,approval2,approval1,polarization,median_voter_distance,median_voter_preference_distance,bimodality,partisan2,State,Date,ElectionType
10,10,10,Alaska_11082022_HouseDistrict16.csv,[],no,1.0,,2,STATE,YES,R,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",,"Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""","Armstrong, Jennifer ""Jennie""",0.997998,0.27449888,0.0,,1.0,Alaska,11082022,HouseDistrict16
11,11,11,Alaska_11082022_HouseDistrict17.csv,[],no,1.0,,2,STATE,YES,R,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",,"Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""","Fields, William Z. ""Zack""",0.992993,0.38185257,0.0,,1.0,Alaska,11082022,HouseDistrict17
12,12,12,Alaska_11082022_HouseDistrict18.csv,[],no,0.94289762,YES,3,STATE,YES,R,"Groh, Cliff","Groh, Cliff","Groh, Cliff","Nelson, David",,"Groh, Cliff","Nelson, David","Groh, Cliff","Groh, Cliff",0.63063061,0.25291675,0.0,1.6584686,1.0,Alaska,11082022,HouseDistrict18
13,13,13,Alaska_11082022_HouseDistrict19.csv,[],no,1.0,,2,STATE,YES,R,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.",0.993994,0.16849662,0.0,,1.0,Alaska,11082022,HouseDistrict19
14,14,14,Alaska_11082022_HouseDistrict2.csv,[],no,1.0,,2,STATE,YES,R,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",0.997998,0.19066937,0.0,,1.0,Alaska,11082022,HouseDistrict2
15,15,15,Alaska_11082022_HouseDistrict20.csv,[],no,0.85363907,,4,STATE,YES,R,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.",0.97597599,0.13787247,0.0,1.91251,1.0,Alaska,11082022,HouseDistrict20
16,16,16,Alaska_11082022_HouseDistrict21.csv,[],no,1.0,,2,STATE,YES,R,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.",,"Mears, Donna C.","Mears, Donna C.","Wolfe, Forrest M.","Wolfe, Forrest M.",0.997998,0.45851648,0.0,,1.0,Alaska,11082022,HouseDistrict21
17,17,17,Alaska_11082022_HouseDistrict22.csv,[],no,1.0,,2,STATE,YES,R,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.",,"Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.","Wright, Stanley A.",0.996997,0.46179774,0.0,,1.0,Alaska,11082022,HouseDistrict22
18,18,18,Alaska_11082022_HouseDistrict23.csv,[],no,1.0,,2,STATE,YES,R,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",,"Allard, Jamie","Allard, Jamie","Allard, Jamie","Allard, Jamie",0.995996,0.24003518,0.0,,1.0,Alaska,11082022,HouseDistrict23
19,19,19,Alaska_11082022_HouseDistrict24.csv,[],no,0.96160001,,3,STATE,YES,R,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",0.98598599,0.16536644,0.0,1.7723951,1.0,Alaska,11082022,HouseDistrict24
20,20,20,Alaska_11082022_HouseDistrict25.csv,[],no,1.0,,2,STATE,YES,R,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",0.996997,0.0,0.0,,1.0,Alaska,11082022,HouseDistrict25
21,21,21,Alaska_11082022_HouseDistrict26.csv,[],no,1.0,,2,STATE,YES,R,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.",,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.",0.997998,0.0,0.0,,1.0,Alaska,11082022,HouseDistrict26
22,22,22,Alaska_11082022_HouseDistrict27.csv,[],no,0.8960644,,3,STATE,YES,R,"Eastman, David","Eastman, David","Eastman, David","Eastman, David",,"Eastman, David","Eastman, David","Eastman, David","Eastman, David",0.987988,0.29048997,0.52427042,2.2787588,1.0,Alaska,11082022,HouseDistrict27
23,23,23,Alaska_11082022_HouseDistrict28.csv,[],no,0.79952991,,4,STATE,YES,R,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",,"Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.","Sumner, Jesse M.",0.66066068,0.0,0.0,2.9265559,1.0,Alaska,11082022,HouseDistrict28
24,24,24,Alaska_11082022_HouseDistrict29.csv,[],no,1.0,,2,STATE,YES,R,"Rauscher, George","Rauscher, George","Rauscher, George","Rauscher, George",,"Rauscher, George","Rauscher, George","Rauscher, George","Rauscher, George",0.996997,0.0,0.0,,1.0,Alaska,11082022,HouseDistrict29
25,25,25,Alaska_11082022_HouseDistrict30.csv,[],no,0.97451556,,3,STATE,YES,R,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.",0.3073073,0.0,0.0,3.1555324,1.0,Alaska,11082022,HouseDistrict30
26,26,26,Alaska_11082022_HouseDistrict31.csv,['Approval'],no,0.91760302,YES,3,STATE,YES,R,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.",,"Dibert, Maxine L.","Dibert, Maxine L.","LeBon, Barton S.","Dibert, Maxine L.",0.65065068,0.33681509,0.65376419,2.2283971,1.0,Alaska,11082022,HouseDistrict31
27,27,27,Alaska_11082022_HouseDistrict32.csv,[],no,0.91522217,YES,3,STATE,YES,R,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.",,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.",0.98298299,0.14738026,0.0,2.6406155,1.0,Alaska,11082022,HouseDistrict32
28,28,28,Alaska_11082022_HouseDistrict34.csv,[],no,0.9292683,,3,STATE,YES,R,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.",,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.",0.98098099,0.16716197,0.0,3.2505865,1.0,Alaska,11082022,HouseDistrict34
29,29,29,Alaska_11082022_HouseDistrict35.csv,[],no,0.90710747,,4,STATE,YES,R,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.",0.7007007,0.14745302,0.0,1.5450485,1.0,Alaska,11082022,HouseDistrict35
30,30,30,Alaska_11082022_HouseDistrict36.csv,[],no,1.0,,2,STATE,YES,R,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",,"Cronk, Mike","Cronk, Mike","Cronk, Mike","Cronk, Mike",0.997998,0.0,0.0,,1.0,Alaska,11082022,HouseDistrict36
31,31,31,Alaska_11082022_HouseDistrict39.csv,[],no,1.0,,2,STATE,YES,R,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",,"Foster, Neal W.","Foster, Neal W.","Foster, Neal W.","Foster, Neal W.",0.992993,0.47649795,0.0,,1.0,Alaska,11082022,HouseDistrict39
32,32,32,Alaska_11082022_HouseDistrict4.csv,[],no,1.0,,2,STATE,YES,R,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",,"Hannan, Sara","Hannan, Sara","Hannan, Sara","Hannan, Sara",0.997998,0.0,0.0,,1.0,Alaska,11082022,HouseDistrict4
33,33,33,Alaska_11082022_HouseDistrict5.csv,[],no,1.0,,2,STATE,YES,R,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.",,"Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.","Stutes, Louise B.",0.995996,0.18529107,0.0,,1.0,Alaska,11082022,HouseDistrict5
34,34,34,Alaska_11082022_HouseDistrict6.csv,[],no,0.94118267,YES,3,STATE,YES,R,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.",,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.",0.98298299,0.31114131,0.0,2.6664042,1.0,Alaska,11082022,HouseDistrict6
35,35,35,Alaska_11082022_HouseDistrict7.csv,[],no,1.0,,2,STATE,YES,R,"Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin",,"Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin","Ruffridge, Justin",0.995996,0.41450566,0.0,,1.0,Alaska,11082022,HouseDistrict7
36,36,36,Alaska_11082022_HouseDistrict9.csv,[],no,1.0,,2,STATE,YES,R,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",,"Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.","Shaw, Laddie H.",0.997998,0.24820788,0.0,,1.0,Alaska,11082022,HouseDistrict9
37,37,37,Alaska_11082022_SenateDistrictA.csv,[],no,1.0,,2,STATE,YES,S,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.",,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.",0.996997,0.028147586,0.0,,1.0,Alaska,11082022,SenateDistrictA
38,38,38,Alaska_11082022_SenateDistrictC.csv,[],no,0.94512415,,3,STATE,YES,S,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary",,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary",0.54454452,0.16288899,0.0,2.1396968,1.0,Alaska,11082022,SenateDistrictC
39,39,39,Alaska_11082022_SenateDistrictD.csv,[],no,0.94079727,,3,STATE,YES,S,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",,"Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.","Bjorkman, Jesse J.",0.32232231,0.31506911,0.32601073,3.4126835,1.0,Alaska,11082022,SenateDistrictD
40,40,40,Alaska_11082022_SenateDistrictE.csv,[],no,0.97468579,,3,STATE,YES,S,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",,"Giessel, Cathy","Giessel, Cathy","Giessel, Cathy","Giessel, Cathy",0.987988,0.0,0.0,3.6715939,1.0,Alaska,11082022,SenateDistrictE
41,41,41,Alaska_11082022_SenateDistrictF.csv,[],no,1.0,,2,STATE,YES,S,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.",0.997998,0.25783527,0.0,,1.0,Alaska,11082022,SenateDistrictF
42,42,42,Alaska_11082022_SenateDistrictG.csv,[],no,1.0,,2,STATE,YES,S,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",,"Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi","Gray-Jackson, Elvi",0.997998,0.27235401,0.0,,1.0,Alaska,11082022,SenateDistrictG
43,43,43,Alaska_11082022_SenateDistrictH.csv,[],no,1.0,,2,STATE,YES,S,"Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt",,"Claman, Matt","Claman, Matt","Costello, Mia","Costello, Mia",0.997998,0.42703173,0.0,,1.0,Alaska,11082022,SenateDistrictH
44,44,44,Alaska_11082022_SenateDistrictI.csv,[],no,1.0,,2,STATE,YES,S,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",,"Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.","Tobin, Löki G.",0.997998,0.047526501,0.0,,1.0,Alaska,11082022,SenateDistrictI
45,45,45,Alaska_11082022_SenateDistrictJ.csv,[],no,0.9500578,YES,3,STATE,YES,S,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest",0.97697699,0.19988154,0.0,3.1323633,1.0,Alaska,11082022,SenateDistrictJ
46,46,46,Alaska_11082022_SenateDistrictK.csv,[],no,1.0,,2,STATE,YES,S,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",,"Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill","Wielechowski, Bill",0.996997,0.24638101,0.0,,1.0,Alaska,11082022,SenateDistrictK
47,47,47,Alaska_11082022_SenateDistrictL.csv,[],no,1.0,,2,STATE,YES,S,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",,"Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.","Merrick, Kelly R.",0.994995,0.32930514,0.0,,1.0,Alaska,11082022,SenateDistrictL
48,48,48,Alaska_11082022_SenateDistrictM.csv,[],no,1.0,,2,STATE,YES,S,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley",,"Hughes, Shelley","Hughes, Shelley","Hughes, Shelley","Hughes, Shelley",0.997998,0.0,0.0,,1.0,Alaska,11082022,SenateDistrictM
49,49,49,Alaska_11082022_SenateDistrictN.csv,['Approval'],no,0.87059641,,3,STATE,YES,S,"Wilson, David S.","Wilson, David S.","Wilson, David S.","Wilson, David S.",,"Wilson, David S.","Wilson, David S.","Wright, Stephen","Wilson, David S.",0.47047046,0.37098023,0.47598839,2.7269957,1.0,Alaska,11082022,SenateDistrictN
50,50,50,Alaska_11082022_SenateDistrictO.csv,[],no,1.0,,2,STATE,YES,S,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",,"Shower, Michael K.","Shower, Michael K.","Shower, Michael K.","Shower, Michael K.",0.994995,0.44213599,0.0,,1.0,Alaska,11082022,SenateDistrictO
51,51,51,Alaska_11082022_SenateDistrictP.csv,[],no,0.8864556,,3,STATE,YES,S,"Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott","Kawasaki, Scott",,"Kawasaki, Scott","Kawasaki, Scott","Matherly, Jim","Matherly, Jim",0.98398399,0.47446194,0.65279967,3.1170959,1.0,Alaska,11082022,SenateDistrictP
52,52,52,Alaska_11082022_SenateDistrictQ.csv,[],no,0.90888804,YES,3,STATE,YES,S,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.",0.993994,0.021213401,0.0,2.1045742,1.0,Alaska,11082022,SenateDistrictQ
53,53,53,Alaska_11082022_SenateDistrictR.csv,[],no,0.91031516,,3,STATE,YES,S,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click",,"Bishop, Click","Bishop, Click","Bishop, Click","Bishop, Click",0.43143144,0.15904613,0.0,1.9899117,1.0,Alaska,11082022,SenateDistrictR
54,54,54,Alaska_11082022_SenateDistrictS.csv,[],no,1.0,,2,STATE,YES,S,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",,"Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.","Hoffman, Lyman F.",0.995996,0.22965117,0.0,,1.0,Alaska,11082022,SenateDistrictS
55,55,55,Alaska_11082022_USRepresentative.csv,[],no,0.85950381,YES,4,FEDERAL,YES,R,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.",,"Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick",0.97097099,0.31553781,0.31553781,2.2792301,1.0,Alaska,11082022,USRepresentative
56,56,56,Alaska_11082022_USSenator.csv,[],no,0.8947562,YES,4,FEDERAL,YES,S,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",,"Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa","Murkowski, Lisa",0.76376379,0.39525065,0.41552889,3.0931847,1.0,Alaska,11082022,USSenator
57,57,57,Albany_11082022_BoardofEducation.csv,[],no,0.68710524,,4,LOCAL,NO,B,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,RON ROSENBAUM,0.095095098,0.11811411,0.018024703,3.138176,0.0,Albany,11082022,BoardofEducation
58,58,58,Albany_11082022_CityCouncil.csv,[],no,0.42024156,,5,LOCAL,NO,R,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,0.18118118,0.017688651,0.0,1.5775117,0.0,Albany,11082022,CityCouncil
59,59,59,Berkeley_03072017_CityCouncilDistrict4.csv,[],no,1.0,,2,LOCAL,NO,R,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,,KATE HARRISON,KATE HARRISON,KATE HARRISON,KATE HARRISON,0.993994,0.28506312,0.0,,0.0,Berkeley,03072017,CityCouncilDistrict4
60,60,60,Berkeley_11022010_CityCouncilDistrict1.csv,[],no,0.90872318,,4,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,0.1011011,0.0,0.0,0.95530349,0.0,Berkeley,11022010,CityCouncilDistrict1
61,61,61,Berkeley_11022010_CityCouncilDistrict4.csv,[],no,0.86288118,,4,LOCAL,NO,R,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,JESSE ARREGUIN,0.3073073,0.15278566,0.0,2.1387618,0.0,Berkeley,11022010,CityCouncilDistrict4
62,62,62,Berkeley_11022010_CityCouncilDistrict7.csv,['Approval'],no,0.74910051,,3,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,,KRISS WORTHINGTON,KRISS WORTHINGTON,CECILIA ''CES'' ROSALES,KRISS WORTHINGTON,0.97497499,0.31481481,0.4952684,1.9151299,0.0,Berkeley,11022010,CityCouncilDistrict7
63,63,63,Berkeley_11022010_CityCouncilDistrict8.csv,[],no,0.81851852,,3,LOCAL,NO,R,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,GORDON WOZNIAK,0.97497499,0.2094035,0.0,0.68128705,0.0,Berkeley,11022010,CityCouncilDistrict8
64,64,64,Berkeley_11032020_MayorBerkeleyRCV.csv,[],no,0.8385781,,4,LOCAL,NO,E,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,JESSE ARREGUÍN,0.22922923,0.0,0.0,1.2540995,0.0,Berkeley,11032020,MayorBerkeleyRCV
65,65,65,Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,[],no,0.77812994,,4,LOCAL,NO,R,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,0.32532531,0.0,0.0,3.3825257,0.0,Berkeley,11032020,MemberCityCouncilDist2BerkeleyRCV
66,66,66,Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,[],no,0.90539837,,3,LOCAL,NO,R,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,0.4054054,0.09044911,0.0,1.2603396,0.0,Berkeley,11032020,MemberCityCouncilDist3BerkeleyRCV
67,67,67,Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,[],no,0.89278227,,3,LOCAL,NO,R,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,SOPHIE HAHN,0.4024024,0.017427387,0.0,1.2646065,0.0,Berkeley,11032020,MemberCityCouncilDist5BerkeleyRCV
68,68,68,Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,[],no,1.0,,2,LOCAL,NO,R,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,SUSAN WENGRAF,0.994995,0.09205021,0.0,,0.0,Berkeley,11032020,MemberCityCouncilDist6BerkeleyRCV
69,69,69,Berkeley_11042014_CityCouncilDistrict1.csv,[],no,0.93896967,,3,LOCAL,NO,R,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,,LINDA MAIO,LINDA MAIO,LINDA MAIO,LINDA MAIO,0.38438439,0.028544873,0.0,2.808989,0.0,Berkeley,11042014,CityCouncilDistrict1
70,70,70,Berkeley_11042014_CityCouncilDistrict7.csv,[],no,1.0,,2,LOCAL,NO,R,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,KRISS WORTHINGTON,0.993994,0.38873628,0.0,,0.0,Berkeley,11042014,CityCouncilDistrict7
71,71,71,Berkeley_11042014_CityCouncilDistrict8.csv,[],no,0.80145758,,4,LOCAL,NO,R,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,,LORI DROSTE,LORI DROSTE,LORI DROSTE,LORI DROSTE,0.3003003,0.21351403,0.29876933,3.209013,0.0,Berkeley,11042014,CityCouncilDistrict8
72,72,72,Berkeley_11062012_CityCouncilDistrict2.csv,[],no,0.91354614,,3,LOCAL,NO,R,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,DARRYL MOORE,0.54554552,0.18916851,0.0,1.020007,0.0,Berkeley,11062012,CityCouncilDistrict2
