,Unnamed: 0.1,Unnamed: 0,filename,null_gamma,null_gamma_recalculated,complete_gamma,gamma,choices,candidates,level,partisan,type,irv_winner,condorcet_winner,plurality_winner,approval_winner,median_voter_preference,median_voter_preference_position,median_voter_position,irv_median_voter_distance,condorcet_median_voter_distance,median_voter_preference_distance,bimodality,partisan2,diff,linearvotersfailure,mirror
26,23,496,NewYorkCity_06222021_DEMCouncilMember7thCouncilDistrict.csv,0.13033033,0.121621622,0.281874771,0.58662874,5,12,LOCAL,DP,R,Shaun Abreu,Shaun Abreu,Shaun Abreu,Shaun Abreu,Raymond Sanchez Jr.,0.435235,0.443535773,0.125806788,0.125806788,0,3.245505199,,[],no,
28,5,432,Maine_06122018_DemocraticPrimaryforGovernor.csv,0.048751249,0.043056943,0.284260171,0.42597014,8,7,STATE,DP,E,"Mills, Janet T.","Mills, Janet T.","Mills, Janet T.","Mills, Janet T.","Eves, Mark W.",0.359672092,0.443535773,0.244917108,0.244917108,0,4.452107373,,[],no,
29,58,459,NewYorkCity_06222021_DEMCouncilMember10thCouncilDistrict.csv,0.174274274,0.154754755,0.284567901,0.69567877,5,8,LOCAL,DP,R,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Carmen N. De La Rosa,Josue Perez,0.478305391,0.443535773,0.083290804,0.083290804,0.02312796,4.015983583,,[],no,
30,41,377,NewYorkCity_06222021_DEMBoroughPresidentBronx.csv,0.326473526,0.256243756,0.291005398,0.66626626,5,5,LOCAL,DP,E,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Vanessa L. Gibson,Luis R. Sepulveda,0.325280054,0.443535773,0.556464227,0.556464227,0.23106492,3.64123945,,[],no,
31,39,463,NewYorkCity_06222021_DEMCouncilMember25thCouncilDistrict.csv,0.17962038,0.168331668,0.298545309,0.66188782,5,8,LOCAL,DP,R,Shekar Krishnan,Shekar Krishnan,Yi Andy Chen,Shekar Krishnan,Fatima Baryab,0.379198204,0.443535773,0.104465374,0.104465374,0.10668697,3.340799179,,"['IRV', 'Condorcet', 'Approval']",no,
32,42,455,Alaska_04102020_PRESIDENTOFTHEUNITEDSTATES.csv,0.1785,0.1846,0.298857198,0.67039812,5,8,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Elizabeth Warren,0.440547218,0.443535773,0.053036986,0.053036986,0,2.753972319,,[],no,
33,56,379,NewYorkCity_06222021_DEMCouncilMember13thCouncilDistrict.csv,0.2824,0.2091,0.300668665,0.69551247,5,5,LOCAL,DP,R,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,Marjorie Velazquez,0.552893717,0.443535773,0.109357944,0.109357944,0,2.934317889,,[],no,
35,54,410,NewYorkCity_06222021_DEMCouncilMember32ndCouncilDistrict.csv,0.2309,0.2103,0.307194078,0.69044125,5,6,LOCAL,DP,R,Felicia Singh,Felicia Singh,Felicia Singh,Felicia Singh,Michael G. Scala,0.479138489,0.443535773,0.443535773,0.443535773,0.32271838,3.282489164,,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
36,29,465,NewYorkCity_06222021_DEMCouncilMember46thCouncilDistrict.csv,0.184484484,0.175275275,0.319071167,0.63560104,5,8,LOCAL,DP,R,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,Mercedes Narcisse,0.441153603,0.443535773,0.002382171,0.002382171,0,2.505185191,,[],no,
37,24,407,NewYorkCity_06222021_DEMCouncilMember14thCouncilDistrict.csv,0.2305,0.215,0.319968241,0.59940714,5,6,LOCAL,DP,R,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Pierina Ana Sanchez,Yudelka Tapia,0.382592024,0.443535773,0.077902891,0.077902891,0,2.565933145,,[],no,
38,31,460,NewYorkCity_06222021_DEMCouncilMember15thCouncilDistrict.csv,0.187012987,0.171428571,0.321179383,0.64000487,5,8,LOCAL,DP,R,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,Oswald Feliz,0.451915557,0.443535773,0.008379784,0.008379784,0,2.530553583,,[],no,
40,51,494,NewYorkCity_06222021_DEMBoroughPresidentKings.csv,0.1356,0.1314,0.32573434,0.68733287,5,12,LOCAL,DP,E,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Antonio Reynoso,Jo Anne Simon,0.441025219,0.443535773,0.039548936,0.039548936,0,3.172920781,,[],no,
42,43,439,NewYorkCity_06222021_DEMCouncilMember39thCouncilDistrict.csv,0.1875,0.1752,0.32636486,0.670614,5,7,LOCAL,DP,R,Shahana K. Hanif,Shahana K. Hanif,Shahana K. Hanif,Shahana K. Hanif,Briget Rein,0.435374448,0.443535773,0.112131146,0.112131146,0,3.149489514,,[],no,
44,40,480,NewYorkCity_06222021_DEMComptrollerCitywide.csv,0.146,0.1441,0.333338799,0.66401404,5,10,LOCAL,DP,O,Brad Lander,Brad Lander,Brad Lander,Corey D. Johnson,Corey D. Johnson,0.421295405,0.443535773,0.074301569,0.074301569,0,2.715241123,,[],no,
45,27,472,NewYorkCity_06222021_DEMCouncilMember29thCouncilDistrict.csv,0.149001996,0.141516966,0.3337747,0.61665988,5,9,LOCAL,DP,R,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,Lynn C. Schulman,0.470121979,0.443535773,0.026586206,0.026586206,0.021507036,2.768006064,,[],no,
46,32,471,NewYorkCity_06222021_DEMCouncilMember1stCouncilDistrict.csv,0.146253746,0.143556444,0.339030852,0.64229131,5,9,LOCAL,DP,R,Christopher Marte,Christopher Marte,Christopher Marte,Christopher Marte,Jenny L. Low,0.438479382,0.443535773,0.443535773,0.443535773,0.3052161,2.872961964,,[],no,
48,77,381,NewYorkCity_06222021_DEMCouncilMember36thCouncilDistrict.csv,0.325925926,0.275675676,0.343161669,0.73489934,5,5,LOCAL,DP,R,Chi A. Osse,Chi A. Osse,Chi A. Osse,Tahirah A. Moore,Robert Waterman,0.538342228,0.443535773,0.556464227,0.556464227,0.22629173,4.061741198,,['Approval'],no,
49,74,413,NewYorkCity_06222021_DEMCouncilMember3rdCouncilDistrict.csv,0.241141141,0.219419419,0.344436281,0.72500265,5,6,LOCAL,DP,R,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,Erik D. Bottcher,0.390387509,0.443535773,0.053148264,0.053148264,0,3.193535987,,[],no,
50,62,411,NewYorkCity_06222021_DEMCouncilMember37thCouncilDistrict.csv,0.225674326,0.212487512,0.349622483,0.7021687,5,6,LOCAL,DP,R,Sandy Nurse,Sandy Nurse,Sandy Nurse,Sandy Nurse,Misba Abdin,0.352380562,0.443535773,0.244008638,0.244008638,0,3.789675271,,[],no,
51,33,436,NewYorkCity_06222021_DEMCouncilMember11thCouncilDistrict.csv,0.202,0.1841,0.351255634,0.64479786,5,7,LOCAL,DP,R,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Eric Dinowitz,Daniel Padernacht,0.427547344,0.443535773,0.187243006,0.187243006,0,4.34609914,,[],no,
52,35,437,NewYorkCity_06222021_DEMCouncilMember23rdCouncilDistrict.csv,0.193106893,0.197802198,0.354363828,0.65557706,5,7,LOCAL,DP,R,Linda Lee,Linda Lee,Linda Lee,Linda Lee,Linda Lee,0.436197318,0.443535773,0.007338456,0.007338456,0,3.015767196,,[],no,
53,52,409,NewYorkCity_06222021_DEMCouncilMember22ndCouncilDistrict.csv,0.2391,0.2298,0.355436676,0.68795025,5,6,LOCAL,DP,R,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,Tiffany Caban,0.454541779,0.443535773,0.011006005,0.011006005,0,2.602810829,,[],no,
55,78,438,NewYorkCity_06222021_DEMCouncilMember35thCouncilDistrict.csv,0.215115115,0.207007007,0.35786602,0.73563612,5,7,LOCAL,DP,R,Crystal Hudson,Crystal Hudson,Crystal Hudson,Crystal Hudson,Michael Hollingsworth,0.494842977,0.443535773,0.118949841,0.118949841,0.067642637,2.934795585,,[],no,
57,47,435,NewYorkCity_06222021_DEMBoroughPresidentNewYork.csv,0.1965,0.1937,0.358867727,0.67725712,5,7,LOCAL,DP,E,Mark D. Levine,Mark D. Levine,Mark D. Levine,Mark D. Levine,Kimberly R. Watkins,0.562389926,0.443535773,0.19401857,0.19401857,0,4.162618032,,[],no,
61,36,462,NewYorkCity_06222021_DEMCouncilMember20thCouncilDistrict.csv,0.160660661,0.153653654,0.361554846,0.65717775,5,8,LOCAL,DP,R,Sandra Ung,Sandra Ung,Sandra Ung,Sandra Ung,Neng Wang,0.481931305,0.443535773,0.054595675,0.054595675,0,2.903078152,,[],no,
63,71,408,NewYorkCity_06222021_DEMCouncilMember19thCouncilDistrict.csv,0.227,0.2056,0.369836182,0.72241342,5,6,LOCAL,DP,R,Tony Avella,Tony Avella,Tony Avella,Tony Avella,Austin I. Shafran,0.428314172,0.443535773,0.280798037,0.280798037,0.14826339,3.913577002,,[],no,
65,45,440,NewYorkCity_06222021_DEMCouncilMember5thCouncilDistrict.csv,0.1772,0.1687,0.372413285,0.67428684,5,7,LOCAL,DP,R,Julie Menin,Julie Menin,Julie Menin,Julie Menin,Tricia M. Shimamura,0.52936582,0.443535773,0.156695531,0.156695531,0,3.13644375,,[],no,
67,66,382,NewYorkCity_06222021_DEMCouncilMember48thCouncilDistrict.csv,0.3368,0.2834,0.373787556,0.71461189,5,5,LOCAL,DP,R,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,Steven Saperstein,0.434424814,0.443535773,0.00911096,0.00911096,0,3.054801869,,[],no,
68,60,464,NewYorkCity_06222021_DEMCouncilMember33rdCouncilDistrict.csv,0.166433566,0.158341658,0.376586433,0.70025361,5,8,LOCAL,DP,R,Lincoln Restler,Lincoln Restler,Lincoln Restler,Lincoln Restler,Sabrina N. Gates,0.426277348,0.443535773,0.121386288,0.121386288,0,3.188309508,,[],no,
69,75,414,NewYorkCity_06222021_DEMCouncilMember6thCouncilDistrict.csv,0.2358,0.1997,0.377201709,0.73084438,5,6,LOCAL,DP,R,Gale A. Brewer,Gale A. Brewer,Gale A. Brewer,Gale A. Brewer,Jeffrey Omura,0.386373672,0.443535773,0.168600045,0.168600045,0,3.611443407,,[],no,
71,93,333,NewYorkCity_06222021_DEMCouncilMember47thCouncilDistrict.csv,0.5863,0.4358,0.379867987,0.76352531,5,4,LOCAL,DP,R,Ari Kagan,Ari Kagan,Ari Kagan,Ari Kagan,Steven D. Patzer,0.296383427,0.443535773,0.443535773,0.443535773,0.29638344,4.205186694,,[],no,
75,147,331,NewYorkCity_06222021_DEMCouncilMember34thCouncilDistrict.csv,0.6085,0.3878,0.403919984,0.82165295,5,4,LOCAL,DP,R,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Jennifer Gutierrez,Andy J. Marte,0.422125165,0.443535773,0.556464227,0.556464227,0,5.651576907,,[],no,
79,87,334,NewYorkCity_06222021_DEMCouncilMember8thCouncilDistrict.csv,0.6367,0.4341,0.418690063,0.7518816,5,4,LOCAL,DP,R,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Diana I. Ayala,Tamika Mapp,0.289731162,0.443535773,0.443535773,0.443535773,0,3.891267216,,[],no,
80,90,301,Maine_06122018_DemocraticPrimaryforCD2.csv,0.602,0.44,0.425001034,0.75908899,5,4,FEDERAL,DP,R,"Golden, Jared F.","Golden, Jared F.","Golden, Jared F.","Golden, Jared F.","Olson, Craig R.",0.587586198,0.443535773,0.443535773,0.443535773,0.26195213,3.987165383,,"['IRV', 'Condorcet', 'Approval']",yes,
84,108,330,NewYorkCity_06222021_DEMCouncilMember24thCouncilDistrict.csv,0.5793,0.4307,0.435582822,0.7804296,5,4,LOCAL,DP,R,James F. Gennaro,James F. Gennaro,James F. Gennaro,James F. Gennaro,Saifur R. Khan,0.408712038,0.443535773,0.443535773,0.443535773,0,5.765648559,,[],no,
86,63,412,NewYorkCity_06222021_DEMCouncilMember38thCouncilDistrict.csv,0.25014985,0.213086913,0.436814159,0.70643109,5,6,LOCAL,DP,R,Alexa Aviles,Alexa Aviles,Alexa Aviles,Alexa Aviles,Cesar Zuniga,0.487745468,0.443535773,0.25063376,0.25063376,0,2.903633947,,[],no,
95,103,366,Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,0.294405594,0.234465534,0.480212519,0.77584553,5,5,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Elizabeth Warren,0.626293138,0.443535773,0.556464227,0.556464227,0,5.969850074,,[],no,
101,89,332,NewYorkCity_06222021_DEMCouncilMember42ndCouncilDistrict.csv,0.656156156,0.43023023,0.493269095,0.75726354,5,4,LOCAL,DP,R,Charles Barron,Charles Barron,Charles Barron,Charles Barron,Gena M. Watson,0.326508208,0.443535773,0.556464227,0.556464227,0.31497833,4.057835807,,[],no,
136,143,329,NewYorkCity_06222021_DEMCouncilMember16thCouncilDistrict.csv,0.603203203,0.431131131,0.602960383,0.81974506,5,4,LOCAL,DP,R,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,Althea V. Stevens,0.320035135,0.443535773,0.123500638,0.123500638,0,3.759292718,,[],no,
155,202,488,Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,0.762862863,0.731131131,0.631031923,0.86144787,3,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Amy Klobuchar,0.289183158,0.443535773,0.190206571,0.190206571,0,5.991103943,,[],no,
164,179,231,NewYorkCity_06222021_DEMCouncilMember12thCouncilDistrict.csv,0.8896,0.6118,0.642613636,0.85093135,4,3,LOCAL,DP,R,Kevin Riley,Kevin Riley,Kevin Riley,Kevin Riley,Pamela A. Hamilton-Johnson,0.471690677,0.443535773,0.556464227,0.556464227,0.52830935,3.910046362,,['Approval'],no,
188,104,205,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,0.8751,0.6534,0.674480911,0.77624309,3,3,STATE,DP,R,"Arford, Poppy","Arford, Poppy","Arford, Poppy","Arford, Poppy","Perreault, Corinne Ann",0.488803436,0.443535773,0.443535773,0.443535773,0.48880345,3.532692935,,"['IRV', 'Condorcet', 'Approval']",yes,
189,182,487,Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,0.7653,0.7251,0.674803408,0.85318524,3,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Amy Klobuchar,0.310704478,0.443535773,0.196367708,0.196367708,0,6.142324283,,[],no,
199,263,235,NewYorkCity_06222021_DEMPublicAdvocateCitywide.csv,0.855344655,0.54045954,0.683557473,0.89846742,4,3,LOCAL,DP,O,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Jumaane D. Williams,Anthony L. Herbert,0.506595365,0.443535773,0.443535773,0.443535773,0,4.592938781,,[],no,
224,110,207,Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,0.8685,0.6295,0.697437238,0.78136808,3,3,STATE,DP,R,"Curry, Glenn Chip","Curry, Glenn Chip","Curry, Glenn Chip","Curry, Glenn Chip","Stanicki, Robyn M.",0.514114036,0.443535773,0.556464227,0.556464227,0.48588598,3.366571655,,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
239,221,233,NewYorkCity_06222021_DEMCouncilMember31stCouncilDistrict.csv,0.900800801,0.578878879,0.709740651,0.87961978,4,3,LOCAL,DP,R,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Selvena N. Brooks-Powers,Nancy J. Martinez,0.487579685,0.443535773,0.556464227,0.556464227,0,4.404866513,,[],no,
240,242,232,NewYorkCity_06222021_DEMCouncilMember28thCouncilDistrict.csv,0.8893,0.6248,0.709871891,0.89020389,4,3,LOCAL,DP,R,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,Ruben Wills,0.397913973,0.443535773,0.443535773,0.443535773,0,4.895072763,,[],no,
250,121,206,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,0.8806,0.5642,0.718945177,0.8003943,3,3,STATE,DP,R,"Crafts, Lydia V.","Crafts, Lydia V.","Crafts, Lydia V.","Crafts, Lydia V.","Pieh, Wendy",0.527507538,0.443535773,0.556464227,0.556464227,0.47249246,3.037101234,,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
281,135,203,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,0.880719281,0.577522478,0.738723872,0.81180668,3,3,STATE,DP,R,"Zager, Samuel Lewis","Zager, Samuel Lewis","Zager, Samuel Lewis","Zager, Samuel Lewis","Grant, Benjamin K.",0.461581128,0.443535773,0.443535773,0.443535773,0.46158114,3.185747103,,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
287,139,204,Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,0.872927073,0.633166833,0.749590835,0.81610578,3,3,STATE,DP,R,"Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.","Bell, Arthur L.",0.509107008,0.443535773,0.065571235,0.065571235,0,3.122399475,,[],no,
293,197,489,Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,0.767265469,0.715269461,0.761046712,0.85921639,3,11,FEDERAL,DP,E,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Joseph R. Biden,Tom Steyer,0.761097268,0.443535773,0.377371234,0.377371234,0,6.222108619,,[],no,
317,302,234,NewYorkCity_06222021_DEMCouncilMember45thCouncilDistrict.csv,0.84955045,0.524475524,0.796830617,0.92947584,4,3,LOCAL,DP,R,Farah N. Louis,Farah N. Louis,Farah N. Louis,Farah N. Louis,Anthony Beckford,0.522646001,0.443535773,0.556464227,0.556464227,0,4.499497757,,[],no,
326,294,230,NewYorkCity_06222021_DEMBoroughPresidentQueens.csv,0.8803,0.5843,0.802846034,0.92290205,4,3,LOCAL,DP,E,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Donovan J. Richards Jr.,Elizabeth S. Crowley,Elizabeth S. Crowley,0.441738803,0.443535773,0.443535773,0.443535773,0.44173881,2.989402067,,"['IRV', 'Condorcet', 'Plurality']",yes,
455,455,93,NewYorkCity_06222021_DEMCouncilMember17thCouncilDistrict.csv,1,1,,1,3,2,LOCAL,DP,R,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Rafael Salamanca Jr.,Helen Hines,0,0.443535773,0.556464227,0.556464227,0,4.629785951,,[],no,
456,456,94,NewYorkCity_06222021_DEMCouncilMember2ndCouncilDistrict.csv,1,1,,1,3,2,LOCAL,DP,R,Carlina Rivera,Carlina Rivera,Carlina Rivera,Carlina Rivera,Carlina Rivera,0,0.443535773,0.443535773,0.443535773,0,5.337020846,,[],no,
457,457,95,NewYorkCity_06222021_DEMCouncilMember30thCouncilDistrict.csv,1,1,,1,3,2,LOCAL,DP,R,Robert F. Holden,Robert F. Holden,Robert F. Holden,Robert F. Holden,Robert F. Holden,0,0.443535773,0.443535773,0.443535773,0,5.958387802,,[],no,
458,458,96,NewYorkCity_06222021_DEMCouncilMember41stCouncilDistrict.csv,1,1,,1,3,2,LOCAL,DP,R,Darlene Mealy,Darlene Mealy,Darlene Mealy,Darlene Mealy,Darlene Mealy,0,0.443535773,0.443535773,0.443535773,0,4.692345279,,[],no,
0,0,454,Vineyard_11052019_CityCouncil.csv,0.0575,0.0475,0.132696391,0.23783287,7,7,LOCAL,NO,R,CRISTY WELSH,CRISTY WELSH,CRISTY WELSH,CRISTY WELSH,KEITH KUDER,0.52624052,0.443535773,0.31068112,0.31068112,0.16067748,3.535798924,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",no,
2,70,449,SanFrancisco_11052019_Mayor.csv,0.0707,0.0641,0.209881769,0.72170931,6,7,LOCAL,NO,E,LONDON N. BREED,LONDON N. BREED,LONDON N. BREED,LONDON N. BREED,"ROBERT L. JORDAN, JR.",0.743722211,0.443535773,0.43988999,0.43988999,0,10.24281656,0,[],no,
3,14,386,Oakland_11032020_SchoolDirectorDist7OaklandRCV.csv,0.362,0.2739,0.210487505,0.52102715,5,5,LOCAL,NO,B,CLIFFORD THOMPSON,CLIFFORD THOMPSON,CLIFFORD THOMPSON,CLIFFORD THOMPSON,BRONCHÉ TAYLOR,0.451808815,0.443535773,0.443535773,0.443535773,0.19840489,4.417121588,0,"['IRV', 'Condorcet', 'Plurality', 'Approval']",yes,
4,4,402,SantaFe_03062018_Mayor.csv,0.3183,0.2442,0.221672408,0.42396313,5,5,LOCAL,NO,E,Alan Webber,Alan Webber,Alan Webber,Alan Webber,Joseph M. Maestas,0.527110368,0.443535773,0.390693712,0.390693712,0,5.279210895,0,[],no,
6,11,479,LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,,0.0011,0.226598853,0.49374023,10,10,LOCAL,NO,E,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,KEN MIYAGISHIMA,ISABELLA SOLIS,0.492972844,0.443535773,0.533264391,0.533264391,0.15913582,4.646931772,0,[],no,
8,8,446,SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT7.csv,0.0536,0.0525,0.241703057,0.48105186,7,7,LOCAL,NO,B,MYRNA MELGAR,MYRNA MELGAR,JOEL ENGARDIO,MYRNA MELGAR,MYRNA MELGAR,0.355955147,0.443535773,0.087580626,0.087580626,0.025528366,3.816880266,0,['IRV'],yes,
9,9,384,Oakland_11032020_MemberCityCouncilDist7OaklandRCV.csv,0.325974026,0.271228771,0.241739921,0.48581758,5,5,LOCAL,NO,R,TREVA REID,TREVA REID,TREVA REID,TREVA REID,"ROBERT ""BOB"" JACKSON",0.509916614,0.443535773,0.443535773,0.443535773,0.5099166,3.604930211,0,['Approval'],yes,
10,13,445,SanFrancisco_11032020_BOARDOFSUPERVISORSDISTRICT1.csv,0.0503,0.0457,0.242205492,0.51334959,7,7,LOCAL,NO,B,CONNIE CHAN,CONNIE CHAN,CONNIE CHAN,MARJAN PHILHOUR,VERONICA SHINZATO,0.493859823,0.443535773,0.443535773,0.443535773,0.16874851,4.409789176,0,['Approval'],no,
11,19,416,Oakland_11032020_MemberCityCouncilDist3OaklandRCV.csv,0.2244,0.2082,0.243635156,0.56154072,5,6,LOCAL,NO,R,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,SENECA SCOTT,0.491851273,0.443535773,0.556464227,0.556464227,0.072842784,4.762943791,0,[],no,
13,20,385,Oakland_11032020_SchoolDirectorDist3OaklandRCV.csv,0.331731732,0.266966967,0.252511721,0.56536484,5,5,LOCAL,NO,B,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,VANCEDRIC WILLIAMS,MAIYA EDGERLY,0.561535063,0.443535773,0.556464227,0.556464227,0.17189258,3.39994984,0,[],no,
14,3,362,Albany_11082022_CityCouncil.csv,0.3396,0.271,0.25375877,0.42024156,5,5,LOCAL,NO,R,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,JOHN ANTHONY MIKI,0.531324199,0.443535773,0.087788425,0.087788425,0,4.913046051,0,[],no,
17,48,417,Oakland_11052024_CityCouncilD3.csv,0.221021021,0.201701702,0.269973572,0.684937378,5,6,LOCAL,NO,R,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,CARROLL FIFE,MICHELLE D. HAILEY,0.451763375,0.443535773,0.349330762,0.349330762,,5.024466673,,,,
18,2,393,Payson_11052019_CityCouncil.csv,0.3199,0.2671,0.271308017,0.36944342,5,5,LOCAL,NO,R,DOUG WELTON,DOUG WELTON,DOUG WELTON,DOUG WELTON,LINDA CARTER,0.571566559,0.443535773,0.37717699,0.37717699,0,3.063187725,0,[],no,
